,id,name,name_id,content,timestamp,channel,language,category,vect,logit_predict,Mnb_predict,tree_predict,rf_predict,bg_predict,knn_predict,nn_predict
0,5.64583296814809e+17,BREAD,7623,i still have tons of moonpies and halloween food hahahaha,2020-02-15T16:53:46Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,eu,eu
1,5.64583296814809e+17,BREAD,7623,i go to the forest to see how much i have because of the counter hahahaha,2020-02-15T16:54:04Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
14,5.64583296814809e+17,BREAD,7623,<:ded:558657335300718594>,2020-02-15T16:53:00Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
15,5.64583296814809e+17,BREAD,7623,i think last time in forest it said like 700?,2020-02-15T16:52:57Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,east
16,5.64583296814809e+17,BREAD,7623,i have so much food,2020-02-15T16:52:43Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
26,5.64583296814809e+17,BREAD,7623,i’m still trying to get all the diary entries haha,2020-02-15T16:52:34Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
30,5.64583296814809e+17,BREAD,7623,moca is lonely!,2020-02-15T16:52:26Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
31,5.64583296814809e+17,BREAD,7623,all your carrots,2020-02-15T16:52:20Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
32,5.64583296814809e+17,BREAD,7623,nooooo,2020-02-15T16:52:17Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
45,5.64583296814809e+17,BREAD,7623,nooooooo!,2020-02-15T16:51:43Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
55,5.64583296814809e+17,BREAD,7623,hello hele!,2020-02-15T16:51:31Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
56,5.64583296814809e+17,BREAD,7623,i’m doing well!,2020-02-15T16:51:28Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
60,6.23625171961643e+17,RicaL,5729,Hello@captainTMD:)Enjoy your time playing Tsuki Adventure😊🌟Welcome,2020-02-15T05:26:20Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,east,sea,sea,sea,east,sea
138,6.567098614213509e+17,Audrey,2260,welcome,2020-02-14T03:22:15Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
146,5.64583296814809e+17,BREAD,7623,helloooo,2020-02-14T01:26:25Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
147,6.567098614213509e+17,Audrey,2260,Welcome!,2020-02-14T01:06:02Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
197,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-12T23:59:38Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
200,5.64583296814809e+17,BREAD,7623,when your internet dies and you’re not done with your school work,2020-02-13T07:13:38Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,sea
203,2.6678501159482163e+17,LittleMouse,244,If that is not how I feel today then nothing is,2020-02-12T22:36:41Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
204,5.64583296814809e+17,BREAD,7623,<:Zzz:560672649341042698>,2020-02-12T22:27:23Z,chat,,,[0.         0.         0.         ... 0.         0.70710678 0.        ],east,east,east,east,east,east,east
205,5.64583296814809e+17,BREAD,7623,don't wanna,2020-02-12T22:27:17Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,east
206,5.64583296814809e+17,BREAD,7623,D:,2020-02-12T22:27:14Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
207,5.64583296814809e+17,BREAD,7623,I SHOULD BE DOING WORK,2020-02-12T22:27:08Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,east
208,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-12T22:07:30Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
215,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-12T20:11:50Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
216,5.64583296814809e+17,BREAD,7623,hello! welcome!,2020-02-12T20:11:47Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,eu,eu,sea,east,eu
221,6.709885787629158e+17,Bi hẻ,4956,Hiii everyone nice to meet you guys ^^,2020-02-12T19:29:39Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,sea
224,4.294745064202568e+17,Chef,5295,"Took me a bit to find yori, I barely started playing yesterday",2020-02-12T19:25:40Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
225,4.294745064202568e+17,Chef,5295,Owo,2020-02-12T19:25:19Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,sea,east,east,sea
230,6.206410138323517e+17,aereia,7977,Welcomeeee,2020-02-12T05:43:50Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
231,6.206410138323517e+17,aereia,7977,Hope everyone is well<:mocahype:558657922603810826> <:mocahype:558657922603810826> <:mocahype:558657922603810826>,2020-02-12T05:43:58Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,east,east,sea,sea
